Asset,Total Count
cake-cvxcrv-crv-0x33f6ddaea2a8a54062e021873bcaee006cdf4007,7704.763075
cake-xdefi-weth-0x37fc088cfd67349be00f5504d00ddb7f2274b3f6,531.5337645
cake-thor-weth-0x3d3f13f2529ec3c84b2940155effbf9b39a8f3ec,25058.84014
cake-weth-psp-0x458ae80894a0924ac763c034977e330c565f1687,540.9265228
cake-lyra-weth-0x52dac05fc0000e9f01ce9a1e91592bfbfce87350,2345.947117
cake-apw-weth-0x53162d78dca413d9e28cf62799d17a9e278b60e8,115.7069159
cake-bmi-weth-0x53813285cc60b13fcd2105c6472a47af01f8ac84,4044.253314
cake-radar-weth-0x559ebe4e206e6b4d50e9bd3008cda7ce640c52cb,85141.55221
cake-weth-bico-0x55d8ec728ea72477c6db12ca497a803c8db361e9,1650.202401
cake-cvx-weth-0x05767d9ef41dc40689678ffca0608878fb3de906,830.6158195
cake-gog-weth-0x5c596c6a65f628fc1090853d8eb1927651e9d9b2,562.1183591
cake-near-weth-0x6469b34a2a4723163c4902dbbdea728d20693c12,226321.3892
sushi,62727.02515
cake-nst-weth-0x75507bab932fc47531bf1654f243c088a3fa1f69,22.98666826
cake-cre8-usdt-0x7c03cf21483fa45006e81669b991af3a16733a44,1.343977695
cake-gas-weth-0x7f7d686b05ce0b9b7b7b0b4d56207ace4b13a87a,23403.64857
cake-weth-wncg-0x877d9c970b8b5501e95967fe845b7293f63e72f7,1611.958487
get-protocol,2710.63
cake-ygg-weth-0x99b42f2b49c395d2a77d973f6009abb5d67da343,5555.489709
cake-xcrmrk-usdt-0x9b880dd096ef74ef7e4b771526bd9584e0b8f7b5,1.77E-07
cake-weth-ens-0xa1181481beb2dc5de0daf2c85392d81c704bf75d,364.9151601
cake-ape-usdt-0xb27c7b131cf4915bec6c4bc1ce2f33f9ee434b9f,0.004780476
cake-mars4-weth-0xb50580b0d81d9fe860746387cef9a8fc36d48d49,15091.93451
cake-sos-weth-0xb84c45174bfc6b8f3eaecbae11dee63114f5c1b2,200519.3648
cake-get-weth-0xbb19141e045b133169d7c7160c5e54a54cc821b2,0.389170681
cake-newo-usdc-0xc08ed9a9abeabcc53875787573dc32eee5e43513,0.004840442
cake-dai-wsteth-0xc5578194d457dcce3f272538d1ad52c68d1ce849,144.3099157
cake-weth-banana-0xcfa9a297a406a48d1137172c18de04c944b47ba9,76.36876717
cake-toke-weth-0xd4e7a6e2d03e4e48dfc27dd3f46df1c176647e38,128.3319425
cake-weth-jpeg-0xdb06a76733528761eda47d356647297bc35a98bd,3074.160488
cake-primate-ape-0xdbb69ea87507525fffbd1c4f1ad6f7d30a9a402e,12838.48422
cake-bit-weth-0xe12af1218b4e9272e9628d7c7dc6354d137d024e,3257.973728
cake-dydx-weth-0xe4ebd836832f1a8a81641111a5b081a2f90b9430,201.378873
cake-wxrp-usdc-0xea9b00b169dda4cbc9fa0a64b0d1e4a6a23a3f34,0.02434182
cake-ooki-weth-0xeaadde1e14c587a7fb4ba78ea78109bb32975f1e,61.18267725
cake-weth-hop-0xed92bfe08de542bbb40fdbe0a27ca66313c0c457,182.2108929
cake-nftl-weth-0xf79321e80acd5fa590936f09acb90ec6471fcbc4,1802.161686
cake-usdc-diver-0xfe9a776154f30281517d4f06578591911906f4e1,0.010246737
apm-coin,5
maga-coin-eth,1420043.828
meta,259613.7649
quick,0.14324801
paal-ai,2850
white-rhinoceros,12036.00312
rollbit-coin,127
airtor-protocol,171956.2008
global-social-chain,20
storj,21.24
zombie-inu-2,96
bank-btc,83599794239
shapeshift-fox-token,200
refereum,1046.61
kyber-network,0.0032
the-sandbox,71
binance-usd,100
nftx,0.01
whale,1280.7282
muse-2,316.5387222
b20,8195.255592
front-row,1
rarible,1000.41
unfederalreserve,822505.1275
uni-ersdl-weth-0x7ba9b94127d434182287de708643932ec036d365,5572.024568
omniaverse,791696.4384
cvault-finance,0.995878048
aave,0.119226816
megaweapon,99.2911766
offshift,25854.51985
die-protocol,1.60E+11
ageur,3.51E-14
nix-bridge-token,7.17E-16
aura-bal,0.00112419
tokenize-xchange,0.00045344
gamma-strategies,3.18E-15
lp-3pool-curve,3.89E-15
sifchain,1.73E-13
spell-token,9.91E-12
mute,5.04E-14
terrausd-wormhole,2.11E-13
aura-finance,0.00581427
tribe-2,6.55376355
musd,3.34E-15
jpeg-d,4.62E-12
ethereum-push-notification-service,11164.11712
haki-token,1
huobi-pool-token,485650.512
okb,1.805244381
harvest-finance,14.82758249
bella-protocol,100
swerve-dao,517.9724935
arpa,7029170.415
ethereum,3160.482556
tokenclub,8.66E-09
status,20.97835705
loom-network,2.56E-08
omisego,8.983157105
electrifyasia,202.20765
cindicator,1016.162391
gsenetwork,1054
dprating,0.251
iht-real-estate-protocol,1.15E-08
enigma,1.80E-07
decentraland,80.05068023
0xbtc,1071.388698
hex,10075.53408
crypto-com-chain,320.9776519
usd-coin,4654.442128
odyssey,3442
uniswap,677.8001035
liquid-staking-derivative,3488.906436
aurora,24
lido-dao,300
imgnai,23858.82724
nucleus-vision,12697.1
tradix,5054.468654
streamr-xdata,1318.338608
kanagawa-nami,250000
hoppy-token,4.22E+11
dejitaru-tsuka,76823.8195
mononoke-inu,360
shiba-inu,696967395.9
zombie-inu-2,7937.8175
tether,32334.44973
bezoge-earth,1.05E+11
dogegf,725261.6393
bitclave,5
matic-network,1045.450371
kishimoto,2694383096
piccolo-inu,39027112192
trueusd,0.663796562
tranche-finance,21.91979786
decentral-art,523967196.8
changenow,280
project-galaxy,251.7806634
pochi-inu,19911485.27
saitama-inu,747853.8425
binance-usd,97.77556
auctus,92599650
weth,4.978158013
hokkaido-inu,76202356794
concentrated-voting-power,0.001146022
ethlend,151.1847893
maker,1.42E-06
yearn-finance,8.71E-05
compound-governance-token,1.04E-05
havven,0.000279523
wrapped-nxm,3.21E-05
wrapped-fantom,1286.450438
kondux-v2,11392
all-in,8643.576632
very-special-dragon,618151.8208
bone-shibaswap,0.16162648
falcon-nine,1646.706875
holo,949647.4972
kin,21098733074
veritaseum,0.00576812
local-coin-swap,15348.84877
covalent,1401
safemoon-inu,5386926.385
cheems-inu-new,14565.3377
harvest-finance,0.0011778
starlink,8888888
mithril,2.5
civic,500
aeternity,209.9916
lockchain,0.069031988
insula,100
sai,542.5498946
swftcoin,161
banque-universal,160
global-trust-coin,3287
matrix-ai-network,37320.54789
tiger-king,2582848
rbx-token,225.2252252
wliti,13
gyoza,74937
0chain,10
chainlink,27.79286735
origin-protocol,586.845
blitzpredict,1371.735317
bottos,4
etherdoge,2.03E+15
get-protocol,1.971
tronclassic,8.94E-09
aelf,19.13235858
dragonchain,25.06146345
power-ledger,51.383536
sirin-labs-token,54.67037713
sopay,32
pundi-x,731408.2717
zebi,13.86923227
friends,20
ost,22502.61379
dent,271.134355
republic-protocol,187.1777686
funfair,1100.95518
spankchain,4.743080424
credits,59.711362
quant,28.81700594
wepower,1500.000027
xyo-network,3500
livepeer,0.016541741
nebulas-token,0.689838704
qash,5.697504
iotex,4148.599074
worldcore,907
agrello-delta,14.13454338
unibright,6
pumapay,15333.53189
tomochain,4.029789829
xceltoken-plus,50
cryptobonusmiles,24192.9
polymath,3.196552853
celsius,98.5709
binance-coin,0.01798804
swtcoin,20000
proton,0.0005
basic-attention-token,0.29572
0x,0.032471725
quarkchain,3715.376384
metal,0.00046716
enjin-coin,492.0097617
libra-credit,7.740375627
shibadoge,1.27E+19
blocks,100
quadrant-protocol,1353655.174
stats,378.8759101
ai-x,1.02E+12
fair-berc20,100
yflink,6.90E-05
dai,1077.044967
chew,44638885.66
vetme,15000
feg-token,9.67E+11
snibbu,11036.70386
ankr,1090.711276
district0x,220000310.5
marginswap,1125000
