Asset,Total Count,Total Value (USD)
credits,59.711362,0.22
credits,59.711362,0.22
crowns,316133.3616,197553.95
cryptex-finance,7.598942715,35.03
cryptoart-ai,294301.2298,1212.58
cryptobonusmiles,24192.9,0.04
cryptobonusmiles,24192.9,0.04
cryptobonusmiles,24192.9,0.04
crypto-com-chain,4286.869944,600.28
crypto-com-chain,320.9776519,44.95
cult-dao,1743000,7.62
cult-dao,1743000,7.62
curve-dao-token,26200.66803,15789.8
curve-dao-token,1.00E-18,0
cvault-finance,0.995878048,6523.22
cyberfi,41.18190393,9.01
cybervein,2029126.108,708.43
dai,7257.352598,7244.1
dai,1.500001,1.5
dai,3253.877638,3247.94
dai,1077.044967,1075.08
daostack,5166.541186,0
data-exchange,76396210.87,577099.27
decentraland,144.6656583,84.37
decentraland,1.263335084,0.74
decentraland,1.00E-18,0
decentraland,142.7624578,83.26
decentraland,80.05068023,46.69
decentral-art,523967196.8,6250451.85
decentralized-vulnerability-platform,1100,0.34
defil,36598.68976,153.55
defi-robot,451550.9371,0
dejitaru-tsuka,77223.8195,2366.03
dejitaru-tsuka,400,12.26
dejitaru-tsuka,76823.8195,2353.77
delta-exchange-token,98155.2506,1951.95
dent,271.134355,0.45
dent,271.134355,0.45
dent,271.134355,0.45
dforce-token,0.022859718,0
die-protocol,1.60E+11,12800
digix-gold-token,0.001988496,0.09
digix-gold-token,0.509148944,23.36
dione,4805969.724,59161.01
district0x,1935.938,147.77
district0x,310.5191793,23.7
district0x,220000310.5,16793063.7
dogegf,725261.6393,0
dogegf,725261.6393,0
dovu,3760212.366,638.07
dprating,0.251,0
dprating,0.251,0
dragonchain,11.92369379,0.62
dragonchain,25.06146345,1.3
duckdaodime,1.00E-18,0
echelon-prime,0.291262136,6
eden2,100,9.52
edgeless,735,3.95
eggs,9.76E+11,9760
electrifyasia,202.20765,0.09
electrifyasia,1.504634295,0
electrifyasia,80.9394701,0.04
electrifyasia,202.20765,0.09
endlesswebworlds,99800000,123.75
enigma,1.80E-07,0
enigma,1.70E-07,0
enigma,1.80E-07,0
enjin-coin,492.0097617,212.13
enjin-coin,3492.009762,1505.58
enjin-coin,492.0097617,212.13
etherdoge,2.03E+15,0
etherdoge,2.03E+15,0
ethereans,19309.63157,69321.58
ethereum,165.0155717,534862.69
ethereum,843.738,2734796.3
ethereum,274.8862692,890985.06
ethereum,96.77338279,313670.23
ethereum,3972.669115,12876557.43
ethereum,3160.482556,10244028.38
ethereum-push-notification-service,11164.11712,2824.93
ethlend,0.002311658,0
ethlend,151.1824776,0
ethlend,135.3574776,0
