Asset,Total Count,Total Value (USD)
dope-wars-paper,32.70184955,0.089720794
dopex,11.62351985,456.3393893
dopex-rebate-token,126.5576423,598.6176481
doubloon,20.51673751,0.01133878
dpex,200,0.024228
dream-machine-token,15.17837123,1493.096378
dxdao,1.07E-11,1.40E-08
eclipse-fi,3087.885593,878.1761353
edge-matrix-computing,428.9297637,604.7909668
el-dorado-exchange-arb,28364.8271,141.4613494
ellipsis,6.60E-09,2.16E-10
ellipsis,6.60E-09,2.16E-10
elonxaidogemessi69pepeinu,696969.697,0
elvishmagic,1,0.00231365
empyreal,3.626318618,158.54265
eng-crypto,51,0.00036261
eng-crypto,51,0.00036261
equalizer,0.367725578,0.002789754
equation,0.076906251,1.358933455
equilibria-finance,106.0798008,59.60337591
equilibria-finance-ependle,0.538587315,0.380924496
ethereans,0.61259873,2.199229441
ethereum,2.345641566,7602.895551
ethereum,0.18099396,586.6532181
ethereum,0.703083239,2278.893974
ethereum,0.437856538,1419.218338
ethereum-meta,4109352913,0
ethermon,53766.25406,84.78131771
ether-wars,4.221230593,0.015407661
ethos-reserve-note,29.74893127,28.95076744
euroe-stablecoin,2.595357,2.795199489
exa,2.09E-15,2.95E-15
exponential-capital-2,2676.522817,2443.900866
extra-finance,47.82174627,8.069298
factor,101.8069582,10.35091705
fbomb,753.7988266,16.99158288
feg-token-bsc,30971083058,0
fenglvziv2,50000,0.1885
ferrum-network,0.002341024,0.000219167
fief,0.005514656,9.51E-05
firepot-finance,0.188093588,0.001063227
flash-stake,487.4849867,3.170002747
floki-inu,1385378.138,287.950846
floki-inu,1385378.138,287.950846
floki-rocket,680456.1834,0.013609124
florence-finance-medici,3292.394453,282.4380582
fluid-usdc,50.011128,49.63434416
flux,0.00015165,1.37E-05
fore-protocol,201.809508,6.385325485
forge,2.63E-05,2.41E-07
frax,9.926080934,9.872102906
frax,0.302658038,0.301012184
frax-ether,0.000489095,1.597995639
frax-share,0.771284002,5.136751453
freedom-coin,1021,0.00028588
freedom-coin,8716,0.00244048
freedom-coin,7505012.114,2.101403392
freedom-coin,7506703.114,2.101876872
funny-coin,3.128322226,0.000124163
fuse-network-token,12.59247,0.939549372
fuzz-finance,0.788942013,0.000200983
gains-network,45.3680767,203.2489836
gameswift,48.30969765,27.66488653
gas-turbo,0.1,0.0316097
gdx-token,1.628754438,0.000998524
genius-x,3.00E-05,9.11E-08
genomesdao,11187.51394,196.059168
geodnet,1.00E-08,2.12E-09
ghast,0.404923419,0.72481292
glend,295.6411375,127.1372191
gmbl-computer-chip,1889.096919,25.85771304
gmd-protocol,0.802423814,3.129452875
gmusd,0.000997226,0.006551775
gmx,10.34433155,406.4287866
gnd-protocol,0.112624287,0.297328118
gnome,122.905265,20.25171504
gnomeland,3650.470211,39.37641751
gnosis-gno,6.20E-11,1.99E-08
goldenboys,0.032311213,0.211315333
good-entry,12971.41998,60.50622621
goons-of-balatroon,3851.986318,12.97395216
governance-ohm,0.011425996,36.96149742
govi,34.36161962,9.958272259
grai,20.56853359,19.99804474
granary,68.70566774,0.843382683
grimace,0.000279867,0.004024487
gyen,0.040862,0.000265879
hamachi-finance,380575.6658,6.595376288
handle-fi,40.97679885,0.206328426
handleusd,16.05589861,13.70284245
havven,91.87394594,372.1536394
hegic,2804.832451,57.61282925
hmx,5.407014561,38.01131236
hold-vip,1096022.553,0
hop-protocol,183.0706556,9.267036586
hord,0.36304188,0.006431298
hudi,1.00E-18,9.45E-20
hundred-finance,0.021126242,1.22E-05
hydranet,11.56018433,0.574323021
ibuffer-token,143.9368622,3.9120096
ichi-farm,0.935688024,2.404718222
idia,0.43921468,0.033286763
ifarm,7.95E-06,0.000546006
impermax-2,28.92682742,1.047789857
inftspace,500000,18.28
ipor,3.336242411,2.291951829
iron-bank,2.49E-06,2.44E-06
ix-token,4779.753061,512.9439795
jarvis-reward-token,0.047136784,0.000285488
joe,263.1992268,196.5653418
jones-dao,62.13062805,46.55938792
jones-glp,20.96127203,48.83976383
jones-usdc,2.805688638,3.075034747
jpg-nft-index,6.47E-06,0.000389235
juggernaut,0.1,0.0039051
kabosu-arbitrum,0.073678739,1.25E-07
kenshi-2,2086.060349,66.44433895
kiba-inu,125525018,410.4668089
kobe,422023.6609,0.789184246
kommunitas,610.5804349,3.909558736
kromatika,42.48121618,1.403423052
kujira,0.126873,0.28292679
kunji-finance,3.305324207,0.37135648
kwenta,0.120696594,13.91511032
kyber-network-crystal,1.786589231,1.332148821
landx-governance-token,8.589006,18.98170326
layer2dao,255.3301189,0.522732246
layer-network,638357.1121,85.20790732
legend-of-fantasy-war,8.596399886,0.083479983
legend-of-fantasy-war,8.596399886,0.083479983
legends-token,32987.55807,0.042883825
leopard,74803073076,0
lernitas,20502.96188,107.0223856
let-s-get-hai,0.513292151,0.510502921
level,214.5238025,58.9292595
leverageinu,2.234265036,0.242826627
lexer-markets,10300.42695,32.73135771
lido-dao,4.792745872,12.6528491
lilai,3694.735343,34.68403245
linear,5.37E-08,6.98E-10
linear,5.37E-08,6.98E-10
liondex,76.26788808,0.145888267
liquiddriver,15.03813776,11.30743143
liquid-finance,0.013212959,27.64890949
liquidus,1.89026606,0.1057188
liquidus,60736.1397,3396.850821
liquity,3.506060072,6.100544525
liquity-usd,47.70960848,47.48136571
livepeer,0.885021336,14.61170957
locus-finance,0.156884111,0.127385976
lodestar,399.9532768,99.23600709
loopring,0.142622305,0.048124532
loser-coin,500,0.00595
lsdoge,2781010196,0
luckybird,0.28,0.08979712
luckybird,0.17,0.05451968
lumi-finance-luausd,0.483572519,0.479569022
lumishare,2,0.236392
lumishare,2,0.236392
lunagens,285315.5476,58.30423215
lybra-finance,9.8012236,5.178388278
lyra-finance,78.26490088,9.246293655
