JSON File,Asset,Total Count
filter_const-address.json,0xb299751b088336e165da313c33e3195b8c6663a6_ethereum,47.13075696
filter_const-address.json,alt-markets,741.813147
filter_const-address.json,hold-vip,1096022.553
filter_const-address.json,maw,157.3518019
filter_const-address.json,torque,402887.9498
filter_const-address.json,unstoppable-defi,143.8360563
filter_const-address.json,level,214.5238025
filter_const-address.json,mpendle,10.90109413
filter_const-address.json,rocket-pool,0.145266138
filter_const-address.json,abachi-2,0.166724908
filter_const-address.json,bullbear-ai,45288523753
filter_const-address.json,paribus,1417.665466
filter_const-address.json,mizar,3830.216516
filter_const-address.json,sweth,0.0016253
filter_const-address.json,quick-intel,360.381436
filter_const-address.json,equilibria-finance,106.0798008
filter_const-address.json,osaka-protocol,7136548.719
filter_const-address.json,creda,0.024057418
filter_const-address.json,preon-star,0.105753115
filter_const-address.json,post-tech,0.000730919
filter_const-address.json,dxdao,1.07E-11
filter_const-address.json,adventurer-gold,0.03271175
filter_const-address.json,hop-protocol,183.0706556
filter_const-address.json,flash-stake,487.4849867
filter_const-address.json,mycelium,389.7909502
filter_const-address.json,arbiten-10share,0.00130911
filter_const-address.json,parallax,37.88856747
filter_const-address.json,dao-maker,0.032408628
filter_const-address.json,woo-network,142.5974774
filter_const-address.json,exponential-capital-2,2676.522817
filter_const-address.json,fore-protocol,201.809508
filter_const-address.json,anima,12.08617276
filter_const-address.json,el-dorado-exchange-arb,28364.8271
filter_const-address.json,euroe-stablecoin,2.595357
filter_const-address.json,virtuswap,231.5611549
filter_const-address.json,astra-dao-2,12905681.13
filter_const-address.json,doubloon,20.51673751
filter_const-address.json,equilibria-finance-ependle,0.538587315
filter_const-address.json,sushi,13.30018765
filter_const-address.json,bridged-tia-hyperlane,0.648663
filter_const-address.json,gnd-protocol,0.112624287
filter_const-address.json,brr-protocol,1.105914546
filter_const-address.json,sperax-usd,2.336391182
filter_const-address.json,winr-protocol,9967.372418
filter_const-address.json,rosnet,133.4763336
filter_const-address.json,dai,2596.67453
filter_const-address.json,handle-fi,40.97679885
filter_const-address.json,roseon,69.75388728
filter_const-address.json,peg-eusd,0.003479022
filter_const-address.json,swapr,6.686357876
filter_const-address.json,edge-matrix-computing,428.9297637
filter_const-address.json,ankreth,1.42E-05
filter_const-address.json,landx-governance-token,8.589006
filter_const-address.json,locus-finance,0.156884111
filter_const-address.json,wrapped-banano,100.453597
filter_const-address.json,fief,0.005514656
filter_const-address.json,polytrade,8.99335591
filter_const-address.json,staked-frax,0.218459195
filter_const-address.json,kyber-network-crystal,1.786589231
filter_const-address.json,aave-v3-weth,0.002590159
filter_const-address.json,idia,0.43921468
filter_const-address.json,jones-usdc,2.805688638
filter_const-address.json,toxicgarden-finance-seed,72.75567799
filter_const-address.json,plsjones,0.00595696
filter_const-address.json,usd,2.585782
filter_const-address.json,thales,132.3895815
filter_const-address.json,gmbl-computer-chip,1889.096919
filter_const-address.json,axlusdc,0.314012
filter_const-address.json,overnight-dai,0.000282212
filter_const-address.json,gmusd,0.000997226
filter_const-address.json,rocket-pool-eth,0.069202666
filter_const-address.json,spool-dao-token,31.38275238
filter_const-address.json,ghast,0.404923419
filter_const-address.json,wrapped-memory,9.01E-08
filter_const-address.json,arbinyan,4527.301238
filter_const-address.json,d2-token,21.12328002
filter_const-address.json,zenpandacoin,112715001.7
filter_const-address.json,o3-swap,21.08813772
filter_const-address.json,asgardx,0.213646569
filter_const-address.json,wall-street-games-2,55.74078877
filter_const-address.json,white-lotus,0.047852044
filter_const-address.json,xtoken,2.859048685
filter_const-address.json,olympus,11.31405356
filter_const-address.json,kenshi-2,2086.060349
filter_const-address.json,adv3nture-xyz-gold,8.621584275
filter_const-address.json,collab-land,2285.337722
filter_const-address.json,lodestar,399.9532768
filter_const-address.json,arbshib,2.74E+11
filter_const-address.json,savvy-usd,0.540066223
filter_const-address.json,plutus-dpx,0.787608041
filter_const-address.json,genius-x,3.00E-05
filter_const-address.json,aave-v3-aave,3.75E-05
filter_const-address.json,seneca-usd,0.123266682
filter_const-address.json,orbs,5.11E-05
filter_const-address.json,standard-token,258.7757443
filter_const-address.json,savvy-eth,6.19E-05
