JSON File,Asset,Total Count,Total Value (USD)
filter_operateBlocknumber.json,cake-usdc-quartz-0x1e888882d0f291dd88c5605108c72d414f29d460,0.035933458,8203.43
filter_operateBlocknumber.json,cake-weth-banana-0xcfa9a297a406a48d1137172c18de04c944b47ba9,76.36876717,15787.08
filter_operateBlocknumber.json,cake-weth-bico-0x55d8ec728ea72477c6db12ca497a803c8db361e9,1650.202401,434181.9
filter_operateBlocknumber.json,cake-weth-ens-0xa1181481beb2dc5de0daf2c85392d81c704bf75d,364.9151601,85115.24
filter_operateBlocknumber.json,cake-weth-gods-0x295685c8fe08d8192981d21ea1fe856a07443920,298.3841145,52545.86
filter_operateBlocknumber.json,cake-weth-hop-0xed92bfe08de542bbb40fdbe0a27ca66313c0c457,182.2108929,2823.69
filter_operateBlocknumber.json,cake-weth-imx-0x18cd890f4e23422dc4aa8c2d6e0bd3f3bd8873d8,930.8007179,31195.37
filter_const-address.json,,0,1148213
filter_operateBlocknumber.json,cake-weth-jpeg-0xdb06a76733528761eda47d356647297bc35a98bd,3074.160488,7.44
filter_operateBlocknumber.json,cake-weth-psp-0x458ae80894a0924ac763c034977e330c565f1687,540.9265228,3387.49
filter_operateBlocknumber.json,cake-weth-vega-0x29c827ce49accf68a1a278c67c9d30c52fbbc348,2859.852737,0
filter_operateBlocknumber.json,cake-weth-wncg-0x877d9c970b8b5501e95967fe845b7293f63e72f7,1611.958487,207.1
filter_operateBlocknumber.json,cake-wxrp-usdc-0xea9b00b169dda4cbc9fa0a64b0d1e4a6a23a3f34,0.02434182,26.91
filter_operateBlocknumber.json,cake-xcrmrk-usdt-0x9b880dd096ef74ef7e4b771526bd9584e0b8f7b5,1.77E-07,26.91
filter_operateBlocknumber.json,cake-xdefi-weth-0x37fc088cfd67349be00f5504d00ddb7f2274b3f6,531.5337645,26.91
filter_operateBlocknumber.json,cake-ygg-weth-0x99b42f2b49c395d2a77d973f6009abb5d67da343,5555.489709,781.06
filter_constant-chainID.json,cat-token,50,5982.34
filter_const-address.json,ccomp,1532.800077,280664.07
filter_const-address.json,cdai,2.00E-08,490.05
filter_reentrancy.json,cellframe,151.170771,9.95
filter_reentrancy.json,celsius,98.5709,13.39
filter_operateBlocknumber.json,celsius,98.5709,13.39
filter_constant-chainID.json,celsius,98.5709,28.84
filter_const-address.json,chainback,92001.30388,11236.23
filter_operateBlocknumber.json,chainlink,15917.73825,2.57
filter_reentrancy.json,chainlink,27.79286735,111.91
filter_operateBlocknumber.json,,0,777.16
filter_operateBlocknumber.json,,0,0.92
filter_const-address.json,chainlink,339.2855479,0.92
filter_operateBlocknumber.json,change,2600,0.92
filter_constant-chainID.json,changenow,130,99.89
filter_operateBlocknumber.json,changenow,130,99.89
filter_reentrancy.json,changenow,280,213.94
filter_operateBlocknumber.json,chedda,1352133557,14.94
filter_reentrancy.json,cheems-inu-new,14565.3377,31.11
filter_const-address.json,chew,6428171.657,113456.53
filter_reentrancy.json,chew,44638885.66,0
filter_operateBlocknumber.json,cindicator,1015.027737,2061.93
filter_constant-chainID.json,cindicator,1016.162391,2979.63
filter_reentrancy.json,cindicator,1016.162391,0
filter_constant-chainID.json,civic,500,431.45
filter_reentrancy.json,civic,500,0
filter_operateBlocknumber.json,coin98,592.9,316.44
filter_reentrancy.json,coinmerge-os,1562331742,0
filter_operateBlocknumber.json,coinmerge-os,428434,0.09
filter_const-address.json,coinmerge-os,205771,56083.5
filter_operateBlocknumber.json,coinwind,3.44E-10,5950.09
filter_reentrancy.json,coinwind,389168.7752,48064.86
filter_const-address.json,,0,386.13
filter_const-address.json,compound-governance-token,43.02008413,0.22
filter_reentrancy.json,compound-governance-token,1.04E-05,0.22
filter_const-address.json,compound-usd-coin,18219.01805,0.22
filter_const-address.json,concentrated-voting-power,0.001146022,197553.95
filter_operateBlocknumber.json,concentrated-voting-power,581.8454906,35.03
filter_reentrancy.json,concentrated-voting-power,0.001146022,1212.58
filter_constant-chainID.json,concertvr,140.867545,0.04
filter_const-address.json,convex-crv,111263.7574,0.04
filter_const-address.json,convex-finance,1625.707069,0.04
filter_reentrancy.json,cook,128043210,600.28
filter_reentrancy.json,covalent,1401,44.95
filter_reentrancy.json,credits,59.711362,7.62
filter_operateBlocknumber.json,credits,59.711362,7.62
filter_constant-chainID.json,credits,59.711362,15789.8
filter_const-address.json,,0,0
filter_reentrancy.json,crowns,316133.3616,6523.22
filter_operateBlocknumber.json,cryptex-finance,7.598942715,9.01
filter_reentrancy.json,cryptoart-ai,294301.2298,708.43
filter_reentrancy.json,cryptobonusmiles,24192.9,7244.1
filter_operateBlocknumber.json,cryptobonusmiles,24192.9,1.5
filter_constant-chainID.json,cryptobonusmiles,24192.9,3247.94
filter_const-address.json,crypto-com-chain,4286.869944,1075.08
filter_reentrancy.json,crypto-com-chain,320.9776519,0
filter_operateBlocknumber.json,cult-dao,1743000,577099.27
filter_const-address.json,cult-dao,1743000,84.37
filter_operateBlocknumber.json,curve-dao-token,1.00E-18,0.74
filter_const-address.json,curve-dao-token,26200.66803,0
filter_operateBlocknumber.json,cvault-finance,0.995878048,83.26
filter_constant-chainID.json,cyberfi,41.18190393,46.69
filter_reentrancy.json,cybervein,2029126.108,6250451.85
filter_operateBlocknumber.json,dai,3253.877638,0.34
filter_reentrancy.json,dai,1077.044967,153.55
filter_const-address.json,dai,7257.352598,0
filter_constant-chainID.json,dai,1.500001,2366.03
filter_constant-chainID.json,daostack,5166.541186,12.26
