Asset,Total Count
savvy-eth,6.19E-05
flux,0.00015165
nola,24137.78902
chainlink,22.21360094
boner,7734.580942
mayfair,19.26071715
aishiba,286002745.7
ageur,60.84605616
uniswap,0.295302965
bumper,10.82948849
liquity,3.506060072
kunji-finance,3.305324207
rb-finance,4.448384218
gmx,10.34433155
arbitrum-bridged-usdt-arbitrum,9441.894449
magic-internet-money,14.85711362
usd-coin-ethereum-bridged,30338.34878
ethereum,2.345641566
iron-bank,2.49E-06
dope-wars-paper,32.70184955
let-s-get-hai,0.513292151
cyberconnect,6.817503965
magicaltux,21666.66111
dextoro,1.00414921
sonne-finance,125.5359355
exa,2.09E-15
bankless-dao,0.001200583
extra-finance,47.82174627
pooltogether,0.198791274
overnight-finance,1.51E-07
alchemix-eth,0.000163952
barnbridge,0.029339322
lernitas,20502.96188
qi-dao,0.090412076
optimism,1080.799412
mummy-finance,0.22736127
nbl,1234.486206
aelin,2.92E-08
aave-v3-usdc,8.059255
ethereans,0.61259873
aave-v3-susd,0.006233667
fbomb,753.7988266
aave,0.924036494
bridged-usd-coin-optimism,10081.03229
rai,3.61E-07
equalizer,0.367725578
havven,91.87394594
nusd,917.2763482
kwenta,0.120696594
meta,0.000103432
bridged-usdt,2113.564085
velodrome-finance,201.4987787
pika-protocol,106.5277519
celo-wormhole,0.00221336
binance-peg-busd,619.1288189
perpetual-protocol,83.7820995
dhedge-dao,9.78921627
onering,1.343419912
bob,1.925811659
beethoven-x,2.55E-11
zoomer,877.8483507
wrapped-optidoge,2.58E-09
openxswap,30.30246237
staked-bifi,0.001088698
alchemix-usd,0.119828928
opx-finance,19.62437236
paraswap,693.1280029
worldcoin-wld,12.31947313
mai-optimism,28.48264896
seth,0.00608922
minerva-money,6.19E-16
matic-network,371.2333685
binance-bridged-usdc-bnb-smart-chain,0.9858832
bridged-usdc-polygon-pos-bridge,11.009886
binance-peg-cardano,4.576414635
binance-bridged-usdt-bnb-smart-chain,3607.30516
catecoin,143606212.6
layer-network,638357.1121
baby-shiba-inu,612519996.6
freedom-coin,1021
avalanche-2,309.5097069
dogira,691
anyswap,4
marvin-inu,3429071881
lunagens,285315.5476
radio-caca,101208.9516
baby-doge-coin,19098836316
darwinia-network-native-token,2964.48
bonfire,624020991.6
shieldtokencoin,0.9
aiearn,0.400999985
popcoin,0.400999985
t23,0.400999985
aave-usdc,0.040446
ai-trader,100000
eng-crypto,51
legend-of-fantasy-war,8.596399886
pump-it-up,17.84827866
mind-matrix,17.84827866
aiswap,17.84827866
codai,17.84827866
polygon-bridged-usdt-polygon,979.881387
pancakeswap-token,1.67E-09
